p1_games,p2_games,p1_score,p2_score,p1_points_won,p2_points_won,p1_break_pt_won,p2_break_pt_won,server_1,server_2,point_victor_1,point_victor_2,momentum,impetus
4,5,40.0,15.0,66,65,0,0,1,0,0,1,2.0,1
4,5,40.0,30.0,67,65,0,0,1,0,1,0,3.0,2
5,5,0.0,0.0,67,66,0,0,0,1,0,1,2.0,1
5,5,0.0,15.0,67,67,0,0,0,1,0,1,1.0,0
5,5,0.0,30.0,68,67,0,0,0,1,1,0,2.0,1
5,5,15.0,30.0,68,68,0,0,0,1,0,1,1.0,0
5,5,15.0,40.0,68,69,0,0,0,1,0,1,1.0,-1
5,6,0.0,0.0,69,69,0,0,1,0,1,0,2.0,0
5,6,15.0,0.0,70,69,0,0,1,0,1,0,2.0,1
5,6,30.0,0.0,71,69,0,0,1,0,1,0,3.0,2
5,6,40.0,0.0,72,69,0,0,1,0,1,0,4.0,3
6,6,0.0,0.0,72,70,0,0,0,1,0,1,3.0,2
6,6,0.0,15.0,73,70,0,0,1,0,1,0,3.0,3
6,6,15.0,15.0,74,70,0,0,1,0,1,0,3.0,4
6,6,30.0,15.0,74,71,0,0,0,1,0,1,2.0,3
6,6,30.0,30.0,74,72,0,0,0,1,0,1,2.0,2
6,6,30.0,41.32,75,72,0,0,1,0,1,0,2.0,3
6,6,41.32,41.32,76,72,0,0,1,0,1,0,2.0,4
6,6,41.32,41.32,76,73,0,0,0,1,0,1,2.0,3
6,6,41.32,41.32,76,74,0,0,0,1,0,1,2.0,2
6,6,41.32,41.32,77,74,0,0,1,0,1,0,2.0,3
6,6,41.32,41.32,78,74,0,0,1,0,1,0,2.0,4
6,6,41.32,41.32,78,75,0,0,0,1,0,1,2.0,3
6,6,41.32,41.32,78,76,0,0,0,1,0,1,2.0,2
6,6,41.32,41.32,78,77,0,0,1,0,0,1,1.0,1
0,0,0.0,0.0,79,77,0,0,1,0,1,0,1.0,2
0,0,15.0,0.0,79,78,0,0,1,0,0,1,1.0,1
0,0,15.0,15.0,80,78,0,0,1,0,1,0,2.0,2
0,0,30.0,15.0,80,79,0,0,1,0,0,1,2.0,1
0,0,30.0,30.0,81,79,0,0,1,0,1,0,2.0,2
0,0,40.0,30.0,82,79,0,0,1,0,1,0,3.0,3
1,0,0.0,0.0,83,79,0,0,0,1,1,0,3.0,4
1,0,15.0,0.0,83,80,0,0,0,1,0,1,3.0,3
1,0,15.0,15.0,83,81,0,0,0,1,0,1,2.0,2
1,0,15.0,30.0,84,81,0,0,0,1,1,0,2.0,3
1,0,30.0,30.0,85,81,0,0,0,1,1,0,2.0,4
1,0,40.0,30.0,85,82,0,0,0,1,0,1,2.0,3
1,0,40.0,40.0,86,82,0,0,0,1,1,0,3.0,4
1,0,50.0,40.0,86,83,0,0,0,1,0,1,2.0,3
1,0,40.0,40.0,86,84,0,0,0,1,0,1,1.0,2
1,0,40.0,50.0,87,84,0,0,0,1,1,0,2.0,3
1,0,40.0,40.0,87,85,0,0,0,1,0,1,1.0,2
1,0,40.0,50.0,87,86,0,0,0,1,0,1,1.0,1
1,1,0.0,0.0,88,86,0,0,1,0,1,0,2.0,2
1,1,15.0,0.0,89,86,0,0,1,0,1,0,2.0,3
1,1,30.0,0.0,89,87,0,0,1,0,0,1,2.0,2
1,1,30.0,15.0,89,88,0,0,1,0,0,1,2.0,1
1,1,30.0,30.0,90,88,0,0,1,0,1,0,2.0,2
1,1,40.0,30.0,91,88,0,0,1,0,1,0,2.0,3
2,1,0.0,0.0,92,88,0,0,0,1,1,0,3.0,4
2,1,15.0,0.0,93,88,0,0,0,1,1,0,4.0,5
2,1,30.0,0.0,93,89,0,0,0,1,0,1,3.0,4
2,1,30.0,15.0,94,89,0,0,0,1,1,0,3.0,5
2,1,40.0,15.0,95,89,1,0,0,1,1,0,3.0,6
3,1,0.0,0.0,96,89,0,0,1,0,1,0,3.0,7
3,1,15.0,0.0,97,89,0,0,1,0,1,0,4.0,8
3,1,30.0,0.0,98,89,0,0,1,0,1,0,4.0,9
3,1,40.0,0.0,98,90,0,0,1,0,0,1,3.0,8
3,1,40.0,15.0,99,90,0,0,1,0,1,0,3.0,9
4,1,0.0,0.0,100,90,0,0,0,1,1,0,3.0,10
4,1,15.0,0.0,100,91,0,0,0,1,0,1,2.0,9
4,1,15.0,15.0,100,92,0,0,0,1,0,1,2.0,8
4,1,15.0,30.0,101,92,0,0,0,1,1,0,2.0,9
4,1,30.0,30.0,101,93,0,0,0,1,0,1,1.0,8
4,1,30.0,40.0,101,94,0,0,0,1,0,1,1.0,7
4,2,0.0,0.0,102,94,0,0,1,0,1,0,2.0,8
4,2,15.0,0.0,103,94,0,0,1,0,1,0,2.0,9
4,2,30.0,0.0,104,94,0,0,1,0,1,0,3.0,10
4,2,40.0,0.0,105,94,0,0,1,0,1,0,4.0,11
5,2,0.0,0.0,105,95,0,0,0,1,0,1,3.0,10
5,2,0.0,15.0,106,95,0,0,0,1,1,0,3.0,11
5,2,15.0,15.0,106,96,0,0,0,1,0,1,2.0,10
5,2,15.0,30.0,107,96,0,0,0,1,1,0,2.0,11
5,2,30.0,30.0,108,96,0,0,0,1,1,0,3.0,12
5,2,40.0,30.0,108,97,0,0,0,1,0,1,2.0,11
5,2,40.0,40.0,108,98,0,0,0,1,0,1,2.0,10
5,2,40.0,50.0,108,99,0,0,0,1,0,1,1.0,9
5,3,0.0,0.0,109,99,0,0,1,0,1,0,1.0,10
5,3,15.0,0.0,110,99,0,0,1,0,1,0,2.0,11
5,3,30.0,0.0,111,99,0,0,1,0,1,0,3.0,12
5,3,40.0,0.0,111,100,0,0,1,0,0,1,3.0,11
5,3,40.0,15.0,112,100,0,0,1,0,1,0,3.0,12
0,0,0.0,0.0,113,100,0,0,0,1,1,0,3.0,13
0,0,15.0,0.0,113,101,0,0,0,1,0,1,2.0,12
0,0,15.0,15.0,113,102,0,0,0,1,0,1,2.0,11
0,0,15.0,30.0,113,103,0,0,0,1,0,1,1.0,10
0,0,15.0,40.0,113,104,0,0,0,1,0,1,0.0,9
0,1,0.0,0.0,114,104,0,0,1,0,1,0,1.0,10
0,1,15.0,0.0,114,105,0,0,1,0,0,1,1.0,9
0,1,15.0,15.0,114,106,0,0,1,0,0,1,1.0,8
0,1,15.0,30.0,115,106,0,0,1,0,1,0,2.0,9
0,1,30.0,30.0,115,107,0,0,1,0,0,1,1.0,8
0,1,30.0,40.0,115,108,0,1,1,0,0,1,1.0,7
0,2,0.0,0.0,115,109,0,0,0,1,0,1,1.0,6
0,2,0.0,15.0,116,109,0,0,0,1,1,0,1.0,7
0,2,15.0,15.0,116,110,0,0,0,1,0,1,1.0,6
0,2,15.0,30.0,116,111,0,0,0,1,0,1,1.0,5
0,2,15.0,40.0,117,111,0,0,0,1,1,0,2.0,6
0,2,30.0,40.0,118,111,0,0,0,1,1,0,2.0,7
0,2,40.0,40.0,119,111,0,0,0,1,1,0,3.0,8
0,2,50.0,40.0,119,112,0,0,0,1,0,1,3.0,7
0,2,40.0,40.0,119,113,0,0,0,1,0,1,2.0,6
0,2,40.0,50.0,120,113,0,0,0,1,1,0,2.0,7
0,2,40.0,40.0,120,114,0,0,0,1,0,1,1.0,6
0,2,40.0,50.0,121,114,0,0,0,1,1,0,2.0,7
0,2,40.0,40.0,122,114,0,0,0,1,1,0,3.0,8
0,2,50.0,40.0,122,115,0,0,0,1,0,1,2.0,7
0,2,40.0,40.0,122,116,0,0,0,1,0,1,2.0,6
0,2,40.0,50.0,123,116,0,0,0,1,1,0,2.0,7
0,2,40.0,40.0,123,117,0,0,0,1,0,1,1.0,6
0,2,40.0,50.0,123,118,0,0,0,1,0,1,1.0,5
0,3,0.0,0.0,124,118,0,0,1,0,1,0,2.0,6
0,3,15.0,0.0,124,119,0,0,1,0,0,1,1.0,5
0,3,15.0,15.0,124,120,0,0,1,0,0,1,1.0,4
0,3,15.0,30.0,124,121,0,0,1,0,0,1,1.0,3
0,3,15.0,40.0,125,121,0,0,1,0,1,0,1.0,4
0,3,30.0,40.0,126,121,0,0,1,0,1,0,2.0,5
0,3,40.0,40.0,127,121,0,0,1,0,1,0,3.0,6
0,3,50.0,40.0,128,121,0,0,1,0,1,0,4.0,7
1,3,0.0,0.0,128,122,0,0,0,1,0,1,3.0,6
1,3,0.0,15.0,129,122,0,0,0,1,1,0,3.0,7
1,3,15.0,15.0,129,123,0,0,0,1,0,1,2.0,6
1,3,15.0,30.0,129,124,0,0,0,1,0,1,1.0,5
1,3,15.0,40.0,130,124,0,0,0,1,1,0,2.0,6
1,3,30.0,40.0,131,124,0,0,0,1,1,0,2.0,7
1,3,40.0,40.0,131,125,0,0,0,1,0,1,2.0,6
1,3,40.0,50.0,131,126,0,0,0,1,0,1,2.0,5
1,4,0.0,0.0,131,127,0,0,1,0,0,1,1.0,4
1,4,0.0,15.0,132,127,0,0,1,0,1,0,1.0,5
1,4,15.0,15.0,133,127,0,0,1,0,1,0,2.0,6
1,4,30.0,15.0,134,127,0,0,1,0,1,0,3.0,7
1,4,40.0,15.0,135,127,0,0,1,0,1,0,4.0,8
2,4,0.0,0.0,136,127,0,0,0,1,1,0,4.0,9
2,4,15.0,0.0,137,127,0,0,0,1,1,0,4.0,10
2,4,30.0,0.0,137,128,0,0,0,1,0,1,3.0,9
2,4,30.0,15.0,138,128,0,0,0,1,1,0,3.0,10
2,4,40.0,15.0,138,129,0,0,0,1,0,1,2.0,9
2,4,40.0,30.0,139,129,1,0,0,1,1,0,2.0,10
3,4,0.0,0.0,140,129,0,0,1,0,1,0,3.0,11
3,4,15.0,0.0,141,129,0,0,1,0,1,0,3.0,12
3,4,30.0,0.0,141,130,0,0,1,0,0,1,3.0,11
3,4,30.0,15.0,142,130,0,0,1,0,1,0,3.0,12
3,4,40.0,15.0,143,130,0,0,1,0,1,0,3.0,13
4,4,0.0,0.0,143,131,0,0,0,1,0,1,2.0,12
4,4,0.0,15.0,144,131,0,0,0,1,1,0,3.0,13
4,4,15.0,15.0,144,132,0,0,0,1,0,1,2.0,12
4,4,15.0,30.0,144,133,0,0,0,1,0,1,1.0,11
4,4,15.0,40.0,144,134,0,0,0,1,0,1,1.0,10
4,5,0.0,0.0,145,134,0,0,1,0,1,0,1.0,11
4,5,15.0,0.0,146,134,0,0,1,0,1,0,2.0,12
4,5,30.0,0.0,146,135,0,0,1,0,0,1,2.0,11
4,5,30.0,15.0,147,135,0,0,1,0,1,0,3.0,12
4,5,40.0,15.0,147,136,0,0,1,0,0,1,2.0,11
4,5,40.0,30.0,147,137,0,0,1,0,0,1,1.0,10
4,5,40.0,40.0,148,137,0,0,1,0,1,0,2.0,11
4,5,50.0,40.0,149,137,0,0,1,0,1,0,2.0,12
5,5,0.0,0.0,149,138,0,0,0,1,0,1,2.0,11
5,5,0.0,15.0,150,138,0,0,0,1,1,0,3.0,12
5,5,15.0,15.0,150,139,0,0,0,1,0,1,2.0,11
5,5,15.0,30.0,151,139,0,0,0,1,1,0,2.0,12
5,5,30.0,30.0,152,139,0,0,0,1,1,0,3.0,13
5,5,40.0,30.0,153,139,1,0,0,1,1,0,3.0,14
6,5,0.0,0.0,153,140,0,0,1,0,0,1,3.0,13
6,5,0.0,15.0,154,140,0,0,1,0,1,0,3.0,14
6,5,15.0,15.0,155,140,0,0,1,0,1,0,3.0,15
6,5,30.0,15.0,155,141,0,0,1,0,0,1,2.0,14
6,5,30.0,30.0,155,142,0,0,1,0,0,1,2.0,13
6,5,30.0,40.0,156,142,0,0,1,0,1,0,2.0,14
6,5,40.0,40.0,157,142,0,0,1,0,1,0,2.0,15
6,5,50.0,40.0,158,142,0,0,1,0,1,0,3.0,16
0,0,0.0,0.0,1,0,0,0,0,1,1,0,4.0,1
0,0,15.0,0.0,1,1,0,0,0,1,0,1,3.0,0
0,0,15.0,15.0,1,2,0,0,0,1,0,1,2.0,-1
0,0,15.0,30.0,2,2,0,0,0,1,1,0,2.0,0
0,0,30.0,30.0,3,2,0,0,0,1,1,0,2.0,1
0,0,40.0,30.0,3,3,0,0,0,1,0,1,2.0,0
0,0,40.0,40.0,3,4,0,0,0,1,0,1,2.0,-1
0,0,40.0,50.0,4,4,0,0,0,1,1,0,2.0,0
0,0,40.0,40.0,4,5,0,0,0,1,0,1,1.0,-1
0,0,40.0,50.0,5,5,0,0,0,1,1,0,2.0,0
0,0,40.0,40.0,5,6,0,0,0,1,0,1,2.0,-1
0,0,40.0,50.0,5,7,0,0,0,1,0,1,1.0,-2
0,1,0.0,0.0,6,7,0,0,1,0,1,0,2.0,-1
0,1,15.0,0.0,7,7,0,0,1,0,1,0,2.0,0
0,1,30.0,0.0,8,7,0,0,1,0,1,0,3.0,1
0,1,40.0,0.0,9,7,0,0,1,0,1,0,4.0,2
1,1,0.0,0.0,9,8,0,0,0,1,0,1,3.0,1
1,1,0.0,15.0,10,8,0,0,0,1,1,0,3.0,2
1,1,15.0,15.0,10,9,0,0,0,1,0,1,2.0,1
1,1,15.0,30.0,10,10,0,0,0,1,0,1,1.0,0
1,1,15.0,40.0,10,11,0,0,0,1,0,1,1.0,-1
1,2,0.0,0.0,11,11,0,0,1,0,1,0,1.0,0
1,2,15.0,0.0,12,11,0,0,1,0,1,0,2.0,1
1,2,30.0,0.0,12,12,0,0,1,0,0,1,2.0,0
1,2,30.0,15.0,13,12,0,0,1,0,1,0,3.0,1
1,2,40.0,15.0,14,12,0,0,1,0,1,0,3.0,2
2,2,0.0,0.0,14,13,0,0,0,1,0,1,2.0,1
2,2,0.0,15.0,14,14,0,0,0,1,0,1,2.0,0
2,2,0.0,30.0,15,14,0,0,0,1,1,0,2.0,1
2,2,15.0,30.0,15,15,0,0,0,1,0,1,1.0,0
2,2,15.0,40.0,15,16,0,0,0,1,0,1,1.0,-1
2,3,0.0,0.0,16,16,0,0,1,0,1,0,2.0,0
2,3,15.0,0.0,16,17,0,0,1,0,0,1,1.0,-1
2,3,15.0,15.0,17,17,0,0,1,0,1,0,2.0,0
2,3,30.0,15.0,18,17,0,0,1,0,1,0,3.0,1
2,3,40.0,15.0,19,17,0,0,1,0,1,0,3.0,2
3,3,0.0,0.0,19,18,0,0,0,1,0,1,3.0,1
3,3,0.0,15.0,19,19,0,0,0,1,0,1,2.0,0
3,3,0.0,30.0,19,20,0,0,0,1,0,1,1.0,-1
3,3,0.0,40.0,19,21,0,0,0,1,0,1,0.0,-2
3,4,0.0,0.0,19,22,0,0,1,0,0,1,0.0,-3
3,4,0.0,15.0,20,22,0,0,1,0,1,0,1.0,-2
3,4,15.0,15.0,20,23,0,0,1,0,0,1,1.0,-3
3,4,15.0,30.0,20,24,0,0,1,0,0,1,1.0,-4
3,4,15.0,40.0,20,25,0,1,1,0,0,1,1.0,-5
3,5,0.0,0.0,21,25,0,0,0,1,1,0,1.0,-4
3,5,15.0,0.0,21,26,0,0,0,1,0,1,1.0,-5
3,5,15.0,15.0,22,26,0,0,0,1,1,0,2.0,-4
3,5,30.0,15.0,22,27,0,0,0,1,0,1,2.0,-5
3,5,30.0,30.0,22,28,0,0,0,1,0,1,1.0,-6
3,5,30.0,40.0,22,29,0,0,0,1,0,1,1.0,-7
0,0,0.0,0.0,23,29,0,0,1,0,1,0,1.0,-6
0,0,15.0,0.0,24,29,0,0,1,0,1,0,2.0,-5
0,0,30.0,0.0,25,29,0,0,1,0,1,0,3.0,-4
0,0,40.0,0.0,26,29,0,0,1,0,1,0,4.0,-3
1,0,0.0,0.0,26,30,0,0,0,1,0,1,3.0,-4
1,0,0.0,15.0,26,31,0,0,0,1,0,1,2.0,-5
1,0,0.0,30.0,27,31,0,0,0,1,1,0,2.0,-4
1,0,15.0,30.0,27,32,0,0,0,1,0,1,1.0,-5
1,0,15.0,40.0,27,33,0,0,0,1,0,1,1.0,-6
1,1,0.0,0.0,28,33,0,0,1,0,1,0,2.0,-5
1,1,15.0,0.0,29,33,0,0,1,0,1,0,2.0,-4
1,1,30.0,0.0,30,33,0,0,1,0,1,0,3.0,-3
1,1,40.0,0.0,31,33,0,0,1,0,1,0,4.0,-2
2,1,0.0,0.0,31,34,0,0,0,1,0,1,3.0,-3
2,1,0.0,15.0,31,35,0,0,0,1,0,1,2.0,-4
2,1,0.0,30.0,31,36,0,0,0,1,0,1,1.0,-5
2,1,0.0,40.0,31,37,0,0,0,1,0,1,0.0,-6
2,2,0.0,0.0,32,37,0,0,1,0,1,0,1.0,-5
2,2,15.0,0.0,33,37,0,0,1,0,1,0,2.0,-4
2,2,30.0,0.0,34,37,0,0,1,0,1,0,3.0,-3
2,2,40.0,0.0,35,37,0,0,1,0,1,0,4.0,-2
3,2,0.0,0.0,36,37,0,0,0,1,1,0,4.0,-1
3,2,15.0,0.0,36,38,0,0,0,1,0,1,3.0,-2
3,2,15.0,15.0,36,39,0,0,0,1,0,1,2.0,-3
3,2,15.0,30.0,36,40,0,0,0,1,0,1,1.0,-4
3,2,15.0,40.0,36,41,0,0,0,1,0,1,0.0,-5
3,3,0.0,0.0,37,41,0,0,1,0,1,0,1.0,-4
3,3,15.0,0.0,38,41,0,0,1,0,1,0,2.0,-3
3,3,30.0,0.0,39,41,0,0,1,0,1,0,3.0,-2
3,3,40.0,0.0,40,41,0,0,1,0,1,0,4.0,-1
4,3,0.0,0.0,40,42,0,0,0,1,0,1,3.0,-2
4,3,0.0,15.0,41,42,0,0,0,1,1,0,3.0,-1
4,3,15.0,15.0,41,43,0,0,0,1,0,1,2.0,-2
4,3,15.0,30.0,41,44,0,0,0,1,0,1,1.0,-3
4,3,15.0,40.0,42,44,0,0,0,1,1,0,2.0,-2
4,3,30.0,40.0,42,45,0,0,0,1,0,1,1.0,-3
4,4,0.0,0.0,43,45,0,0,1,0,1,0,2.0,-2
4,4,15.0,0.0,43,46,0,0,1,0,0,1,2.0,-3
4,4,15.0,15.0,44,46,0,0,1,0,1,0,2.0,-2
4,4,30.0,15.0,44,47,0,0,1,0,0,1,2.0,-3
4,4,30.0,30.0,45,47,0,0,1,0,1,0,2.0,-2
4,4,40.0,30.0,46,47,0,0,1,0,1,0,3.0,-1
5,4,0.0,0.0,46,48,0,0,0,1,0,1,2.0,-2
5,4,0.0,15.0,46,49,0,0,0,1,0,1,2.0,-3
5,4,0.0,30.0,47,49,0,0,0,1,1,0,2.0,-2
5,4,15.0,30.0,47,50,0,0,0,1,0,1,1.0,-3
5,4,15.0,40.0,47,51,0,0,0,1,0,1,1.0,-4
5,5,0.0,0.0,48,51,0,0,1,0,1,0,2.0,-3
5,5,15.0,0.0,49,51,0,0,1,0,1,0,2.0,-2
5,5,30.0,0.0,50,51,0,0,1,0,1,0,3.0,-1
5,5,40.0,0.0,51,51,0,0,1,0,1,0,4.0,0
6,5,0.0,0.0,51,52,0,0,0,1,0,1,3.0,-1
